"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 24 14:33:06 UTC 2025","Thu Jul 24 14:33:10 UTC 2025","3702","","com.example.cineverse.tests.UserLoginTests","","com.example.cineverse.tests.UserLoginTests","test_validLoginCredentials","test_validLoginCredentials(AuthLoginData) [3] com.example.cineverse.data.TestDataProvider$AuthLoginData@59c500f7","Test user login with valid input combinations"
"failed","Thu Jul 24 14:33:17 UTC 2025","Thu Jul 24 14:33:21 UTC 2025","3707","","com.example.cineverse.tests.UserLoginTests","","com.example.cineverse.tests.UserLoginTests","test_nonExistingLoginCredentials","test_nonExistingLoginCredentials(AuthLoginData) [2] com.example.cineverse.data.TestDataProvider$AuthLoginData@79252c83","Test user login with invalid input combinations"
"broken","Thu Jul 24 14:31:40 UTC 2025","Thu Jul 24 14:32:03 UTC 2025","23677","","com.example.cineverse.tests.UserRegistrationTests","","com.example.cineverse.tests.UserRegistrationTests","test_validRegisteringCredentials","Test user registration with various input combinations [2] com.example.cineverse.data.TestDataProvider$AuthRegisterData@226b143b",""
"broken","Thu Jul 24 14:32:35 UTC 2025","Thu Jul 24 14:32:59 UTC 2025","23705","","com.example.cineverse.tests.UserRegistrationTests","","com.example.cineverse.tests.UserRegistrationTests","test_validRegisteringCredentials","Test user registration with various input combinations [5] com.example.cineverse.data.TestDataProvider$AuthRegisterData@4d3c6593",""
"failed","Thu Jul 24 14:33:14 UTC 2025","Thu Jul 24 14:33:17 UTC 2025","3281","","com.example.cineverse.tests.UserLoginTests","","com.example.cineverse.tests.UserLoginTests","test_nonExistingLoginCredentials","test_nonExistingLoginCredentials(AuthLoginData) [1] com.example.cineverse.data.TestDataProvider$AuthLoginData@41def031","Test user login with invalid input combinations"
"passed","Thu Jul 24 14:33:25 UTC 2025","Thu Jul 24 14:33:26 UTC 2025","1619","","com.example.cineverse.tests.UserLoginTests","","com.example.cineverse.tests.UserLoginTests","test_invalidLoginCredentials","test_invalidLoginCredentials(AuthLoginData) [3] com.example.cineverse.data.TestDataProvider$AuthLoginData@46ea78f0","Test user login with invalid input combinations"
"passed","Thu Jul 24 14:32:59 UTC 2025","Thu Jul 24 14:33:03 UTC 2025","3897","","com.example.cineverse.tests.UserLoginTests","","com.example.cineverse.tests.UserLoginTests","test_validLoginCredentials","test_validLoginCredentials(AuthLoginData) [1] com.example.cineverse.data.TestDataProvider$AuthLoginData@2dbc408c","Test user login with valid input combinations"
"passed","Thu Jul 24 14:33:21 UTC 2025","Thu Jul 24 14:33:22 UTC 2025","1583","","com.example.cineverse.tests.UserLoginTests","","com.example.cineverse.tests.UserLoginTests","test_invalidLoginCredentials","test_invalidLoginCredentials(AuthLoginData) [1] com.example.cineverse.data.TestDataProvider$AuthLoginData@3ace6346","Test user login with invalid input combinations"
"passed","Thu Jul 24 14:33:10 UTC 2025","Thu Jul 24 14:33:14 UTC 2025","3695","","com.example.cineverse.tests.UserLoginTests","","com.example.cineverse.tests.UserLoginTests","test_validLoginCredentials","test_validLoginCredentials(AuthLoginData) [4] com.example.cineverse.data.TestDataProvider$AuthLoginData@62ade015","Test user login with valid input combinations"
"passed","Thu Jul 24 14:33:03 UTC 2025","Thu Jul 24 14:33:06 UTC 2025","3485","","com.example.cineverse.tests.UserLoginTests","","com.example.cineverse.tests.UserLoginTests","test_validLoginCredentials","test_validLoginCredentials(AuthLoginData) [2] com.example.cineverse.data.TestDataProvider$AuthLoginData@14422d9d","Test user login with valid input combinations"
"broken","Thu Jul 24 14:31:00 UTC 2025","Thu Jul 24 14:31:40 UTC 2025","39119","","com.example.cineverse.tests.UserRegistrationTests","","com.example.cineverse.tests.UserRegistrationTests","test_validRegisteringCredentials","Test user registration with various input combinations [1] com.example.cineverse.data.TestDataProvider$AuthRegisterData@3214ee6",""
"passed","Thu Jul 24 14:33:22 UTC 2025","Thu Jul 24 14:33:25 UTC 2025","2221","","com.example.cineverse.tests.UserLoginTests","","com.example.cineverse.tests.UserLoginTests","test_invalidLoginCredentials","test_invalidLoginCredentials(AuthLoginData) [2] com.example.cineverse.data.TestDataProvider$AuthLoginData@1d17423f","Test user login with invalid input combinations"
"passed","Thu Jul 24 14:32:28 UTC 2025","Thu Jul 24 14:32:35 UTC 2025","7772","","com.example.cineverse.tests.UserRegistrationTests","","com.example.cineverse.tests.UserRegistrationTests","test_validRegisteringCredentials","Test user registration with various input combinations [4] com.example.cineverse.data.TestDataProvider$AuthRegisterData@dc79225",""
"broken","Thu Jul 24 14:32:03 UTC 2025","Thu Jul 24 14:32:28 UTC 2025","24285","","com.example.cineverse.tests.UserRegistrationTests","","com.example.cineverse.tests.UserRegistrationTests","test_validRegisteringCredentials","Test user registration with various input combinations [3] com.example.cineverse.data.TestDataProvider$AuthRegisterData@4d6ee47",""
